Year,PERIODO ,SUCRE,LA PAZ,COCHABAMBA,ORURO,TARIJA,SANTA CRUZ ,TRINIDAD,COBIJA,EL ALTO ,SUCRE
2002,Junio,12.7,11.2,15.5,5.3,12.8,19.2,22.5,23.7,5.6,12.7
2002,Julio,11.2,9.4,14.1,4.1,13,19.4,23.4,24.3,4.1,11.2
2002,Agosto,13.9,11.6,16.4,6.5,16.8,24.1,26.2,26.5,,13.9
2002,Septiembre,14.8,12.4,18.5,9.1,18.1,24.9,,,7.7,14.8
2002,Octubre,16.1,12.8,19.9,11.5,21.5,27.4,27,27.3,8.2,16.1
2002,Diciembre,16.9,14.2,21.1,12.9,21.9,26,26.4,26.4,,16.9
2003,Enero ,15.9,13.8,18.9,12.9,21.5,26.4,27.5,26.3,9.7,15.9
2003,Febrero,15.7,13.9,20.5,12.9,21.3,25.1,26.5,25.9,9.8,15.7
2003,Marzo,14.7,13.2,19,12.1,20.1,25.7,27.4,26.3,8.9,14.7
2003,Abril,14.5,13.1,18.4,10.1,18.4,24,27,25.6,7.7,12.5
2003,Mayo,13.4,12,16.3,6.8,17.4,23.4,25.8,26.1,6,13.4
2003,Junio,13.4,11.1,14.4,3.5,15.2,22.3,22.4,25.8,4.7,13.4
2003,Julio,11.9,10,14.7,4.7,13.3,20.7,22.9,24.5,4.5,11.9
2003,Agosto,11.7,10.9,15.7,5.2,14.1,21.8,25,24.3,5.5,11.7
2003,Septiembre,13.8,11.2,17.6,7.9,17.3,24.7,26,26,6,13.8
2003,Octubre,15.8,13.8,19.8,10.2,20.1,26.1,27.9,27,8.6,15.8
2003,Noviembre,16,14.3,20.5,12,20.9,26.4,27.4,26.8,9.2,16
2003,Diciembre,16.3,14.3,20.1,13.7,21.3,25.6,27.4,26.8,9.9,16.3
2004,Enero ,15,12.8,18.4,12.9,21.8,28,27.1,26.7,9,15
2004,Febrero,14.6,13.1,18.7,12.8,20.7,26.6,26.7,25.9,9,14.6
2004,Marzo,15.7,13.1,19.6,12.9,20.5,26.5,26.6,26.4,9.2,15.7
2004,Abril,15.6,13.6,19.1,11,19.8,25.3,25.6,26.5,8.5,15.6
2004,Mayo,11.3,11.4,15.6,4.7,12.3,19,25.5,22.8,5.3,11.3
2004,Junio,11.9,10.5,14,3.4,13.5,20.7,24.7,24.6,12.5,11.9
2004,Julio,12.3,9.8,14.4,4.8,14.7,20.2,12.5,24.4,4.2,12.3
2004,Agosto,13.3,10.5,16,7.2,16.5,22.7,22.8,25.5,5.3,13.3
2004,Septiembre,15,12.2,18,9.2,18.4,25.8,24.9,26.7,7.1,15
2004,Octubre,16.2,14.5,20.1,10.8,20.2,26.1,27,27.4,8.9,16.2
2004,Noviembre,16.1,14.5,20.7,12,19.5,25.8,27.4,26.3,10.1,16.1
2004,Diciembre,16.3,14.9,20.8,13.8,20.9,26.8,26.9,26.9,10.5,16.3
2005,Enero ,15.4,13.6,19.4,12.8,21.2,26.9,27,27.4,9.5,15.4
2005,Febrero,14.4,13,18.5,12.3,19.5,27.1,26.5,26.3,9.1,14.4
2005,Marzo,15.6,13,20.6,12.9,20.1,26.1,27.9,26.6,9.5,15.6
2005,Abril,14.8,13,18.6,10.2,18.2,23.8,26.2,25.9,8,14.8
2005,Mayo,14.3,12.8,16,5.2,16.7,22,21.1,25.5,6.1,14.3
2005,Junio,12.7,10.9,14.1,2.9,14.8,21.6,23,26.2,4.2,12.7
2005,Julio,12.3,7,14.8,4.3,12.5,20.3,23.3,24,4.9,12.3
2005,Agosto,14,12,15.8,5.3,16.1,23.9,24.5,26.6,5.4,14
2005,Septiembre,13.1,11.3,17,8,14,21.5,26.7,25,6.9,13.1
2005,Octubre,14.6,12.8,19.1,10.7,19.1,24.3,27.4,27.2,8.4,14.6
2005,Noviembre,15.9,13.7,20.1,11.5,20.8,26,26.3,26.8,9.2,15.9
2005,Diciembre,15.6,14.8,19.9,13.5,21.3,26.4,27.2,26.5,10.1,15.6
2006,Enero ,14.9,12.9,18.2,12,20.6,26.3,26.6,26.4,8.9,14.9
2006,Febrero,15.5,13.9,19.7,12.4,19.8,26.7,27.3,26.3,9.4,15.5
2006,Marzo,15.9,13.9,19.4,12.7,20.4,26.1,27.4,26.6,9.3,15.9
2006,Abril,14.1,11.1,17.6,10.5,17.6,24.9,25.7,25.4,8.1,14.1
2006,Mayo,12,11.1,15,5.8,13.6,20.3,21.9,23.5,5.3,12
2006,Junio,12.5,10.9,14.7,3.7,15.1,22,23.9,25.4,4.6,12.5
2006,Julio,12.8,12.7,14.2,3.2,14.2,22.5,24.3,25.7,4,12.8
2006,Agosto,13.5,11.5,16.4,6.2,15.3,23.4,24.9,26.2,6,13.5
2006,Septiembre,13.6,12.2,17.6,7.8,15.8,23.9,24.9,26.6,7.1,13.6
2006,Octubre,16.5,13.9,20.3,11.5,20.3,26.5,26.8,27,9,16.5
2006,Noviembre,15.9,14.3,20.6,13.1,19.5,26.7,27.3,26.6,9.8,15.9
2006,Diciembre,17.3,13.5,20.6,13.7,22,26.4,26.5,26.2,10.1,17.3
2007,Enero ,16.3,15,20.1,13.1,20.5,26,27.2,26.6,9.8,16.3
2007,Febrero,15.7,13.5,19.5,12.9,20.7,26,26.3,26.3,9.4,15.7
2007,Marzo,15.1,13,18.9,11.8,20.4,25.8,26.7,26.3,8.7,15.1
2007,Abril,14.7,13.2,18.7,10.6,18.7,25.4,26.3,26.3,8.4,14.7
2007,Mayo,12.9,12,16.6,6.6,14.1,20.2,22.4,23.4,6.4,12.9
2007,Junio,14,11.8,15.6,5.5,14.3,21.8,23.6,24.9,5.7,14
2007,Julio,12.1,10.2,14.3,4.4,12.3,19.7,21.8,24,4.4,12.1
2007,Agosto,13.3,11.8,16.6,7.3,13.8,20.9,22.5,24.9,6.1,13.3
2007,Septiembre,14.6,11.4,18,9.5,17.8,26.5,26.8,27.1,7.2,14.6
2007,Octubre,16.1,13.6,19.4,11.3,21.2,26.9,26.9,27,8.7,16.1
2007,Noviembre,15.6,13.5,19.9,10.9,19.1,25,25.9,26.2,8.5,15.6
2007,Diciembre,14.8,13.6,18.5,12.8,19.8,26.1,26.4,26.5,,14.8
2008,Enero ,14.3,12.8,18,12.1,20.2,25.9,26,25.9,8.8,14.3
2008,Febrero,14.6,13.6,18.6,12.4,19.6,25.9,26.4,25.7,9,14.6
2008,Marzo,14.2,12.7,18,11.7,19.4,25.3,26.4,25.9,8.3,14.2
2008,Abril,13.3,12.9,17.3,9.4,16.9,23.5,25.5,12.5,12.5,13.3
2008,Mayo,12.4,11.6,14.9,4.4,14.3,21.4,23.2,24.3,5.2,12.4
